Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
conference,AML_AllPairs_CenterMaxtrue,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,AML,AllPairs
conference,ATBox_AllPairs_MergeCenterMaxfalse,ALL,0.6537644199298334,0.5879687430687853,0.1716171317011653,0.6191234247476811,0.6254545454545455,0.5639344262295082,0.19753086419753085,0.593103448275862,172,32,103,133,275,303323577396,00:05:03,ATBox,AllPairs
conference,ATBox_AllPairs_MergeCenterMaxfalse,CLASSES,0.775361543218686,0.6480840028568043,0.1462207105064248,0.7060325053892098,0.7596153846153846,0.61003861003861,0.16101694915254236,0.6766595289079229,158,19,50,101,208,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_MergeCenterMaxfalse,PROPERTIES,0.14761904761904762,0.17936507936507937,0.17460317460317462,0.16195099398982896,0.21212121212121213,0.30434782608695654,0.29545454545454547,0.25,14,13,52,32,66,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_MergeCenterMaxfalse,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,-,-,ATBox,AllPairs
conference,ALOD2Vec_AllPairs_CenterMaxtrue,ALL,0.636113886113886,0.5691142015989139,0.1324124599334683,0.6007517582978114,0.6007194244604317,0.5475409836065573,0.15432098765432098,0.5728987993138936,167,25,111,138,278,305329261041,00:05:05,ALOD2Vec,AllPairs
conference,ALOD2Vec_AllPairs_CenterMaxtrue,CLASSES,0.7584852922070968,0.6320687134351731,0.10215419501133786,0.6895306774991578,0.7188940092165899,0.6023166023166023,0.1271186440677966,0.6554621848739496,156,15,61,103,217,-,-,ALOD2Vec,AllPairs
conference,ALOD2Vec_AllPairs_CenterMaxtrue,PROPERTIES,0.1216931216931217,0.14603174603174604,0.1388888888888889,0.13275613275613277,0.18032786885245902,0.2391304347826087,0.22727272727272727,0.205607476635514,11,10,50,35,61,-,-,ALOD2Vec,AllPairs
conference,ALOD2Vec_AllPairs_CenterMaxtrue,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,ALOD2Vec,AllPairs
conference,Paris_AllPairs_Err99,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,305,0,21214324257,00:00:21,Paris,AllPairs
conference,Paris_AllPairs_Err99,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,259,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_Err99,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_Err99,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,Paris,AllPairs
conference,AML_AllPairs_CenterMintrue,ALL,0.8365999740999741,0.5379666030976532,0.2565293794285391,0.6548432846893532,0.8333333333333334,0.5409836065573771,0.2777777777777778,0.6560636182902585,165,45,33,140,198,363677177871,00:06:03,AML,AllPairs
conference,AML_AllPairs_CenterMintrue,CLASSES,0.8289946164946165,0.576750024036719,0.20903250188964473,0.6802411351308623,0.819672131147541,0.5791505791505791,0.2711864406779661,0.6787330316742082,150,32,33,109,183,-,-,AML,AllPairs
