Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
knowledgegraph,AML_TransitivePairsFirstVsRestClassesDescending,PROPERTIES,0.8257467994310099,0.40657105204965305,0.40657105204965305,0.5448671291548967,0.8217821782178217,0.4585635359116022,0.4585635359116022,0.5886524822695035,83,83,18,98,157,-,-,AML,TransitivePairsFirstVsRestClassesDescending
knowledgegraph,AML_TransitivePairsFirstVsRestClassesDescending,INSTANCES,0.5553802979653335,0.23050483709210895,0.14318203145008868,0.3257927638427948,0.8392715756136183,0.21019234582589727,0.10767969390543865,0.33618775769108783,3180,394,609,11949,6553,-,-,AML,TransitivePairsFirstVsRestClassesDescending
knowledgegraph,AML_IncrementalMergeInstancesAscending,ALL,0.8369091828755229,0.7923235482140611,0.43671776560315856,0.8140062995977263,0.8633044889129259,0.8314343381730581,0.48174048174048173,0.8470697489303837,12770,1860,2022,2589,26741,22809590722940,06:20:09,AML,IncrementalMergeInstancesAscending
knowledgegraph,AML_IncrementalMergeInstancesAscending,CLASSES,0.9636363636363636,0.8136996336996338,0.39999999999999997,0.8823436393409452,0.95,0.7755102040816326,0.47619047619047616,0.8539325842696629,38,10,2,11,113,-,-,AML,IncrementalMergeInstancesAscending
knowledgegraph,AML_IncrementalMergeInstancesAscending,PROPERTIES,0.889904946312269,0.5661826668499471,0.566182666849947,0.6920582953821309,0.8206896551724138,0.6574585635359116,0.6574585635359116,0.7300613496932516,119,119,26,62,271,-,-,AML,IncrementalMergeInstancesAscending
knowledgegraph,AML_IncrementalMergeInstancesAscending,INSTANCES,0.8357151672241072,0.7966844936299685,0.41510346158454814,0.8157332187516791,0.8634901074827138,0.8336968735541014,0.4730800765236403,0.8483319881624967,12613,1731,1994,2516,26357,-,-,AML,IncrementalMergeInstancesAscending
knowledgegraph,AML_TransitivePairsWindowClassesAscending,ALL,0.6037343128252219,0.0291024535362578,0.012616726952790109,0.05552822061291044,0.8178807947019867,0.06432710462920763,0.024087024087024088,0.11927325405927444,988,93,220,14371,2047,12250020217420,03:24:10,AML,TransitivePairsWindowClassesAscending
knowledgegraph,AML_TransitivePairsWindowClassesAscending,CLASSES,0.4,0.11333333333333333,0.0,0.17662337662337665,1.0,0.04081632653061224,0.0,0.07843137254901959,2,0,0,47,9,-,-,AML,TransitivePairsWindowClassesAscending
knowledgegraph,AML_TransitivePairsWindowClassesAscending,PROPERTIES,0.21666666666666665,0.012223062257576753,0.012223062257576755,0.02314066400668267,0.3333333333333333,0.016574585635359115,0.016574585635359115,0.031578947368421054,3,3,6,178,21,-,-,AML,TransitivePairsWindowClassesAscending
knowledgegraph,AML_TransitivePairsWindowClassesAscending,INSTANCES,0.5011331093642977,0.029020279893228234,0.011865009512633131,0.05486345420853773,0.8212197159565581,0.06497455218454623,0.024596884394643345,0.1204214136959451,983,90,214,14146,2017,-,-,AML,TransitivePairsWindowClassesAscending
knowledgegraph,ALOD2Vec_IncrementalMergeClassesAscending,ALL,0.8939093943722837,0.7721804500256262,0.45367648358012713,0.8285980023820028,0.9000855798031665,0.8217331857542809,0.4851074851074851,0.8591266464722099,12621,1873,1401,2738,24058,1050916379090,00:17:30,ALOD2Vec,IncrementalMergeClassesAscending
knowledgegraph,ALOD2Vec_IncrementalMergeClassesAscending,CLASSES,0.9777777777777779,0.6735531135531135,0.1,0.7976417931048081,0.967741935483871,0.6122448979591837,0.09523809523809523,0.75,30,2,1,19,101,-,-,ALOD2Vec,IncrementalMergeClassesAscending
knowledgegraph,ALOD2Vec_IncrementalMergeClassesAscending,PROPERTIES,0.8963825136612021,0.9680067056735258,0.9680067056735258,0.9308188173091437,0.8564356435643564,0.9558011049723757,0.9558011049723757,0.9033942558746737,173,173,29,8,422,-,-,ALOD2Vec,IncrementalMergeClassesAscending
knowledgegraph,ALOD2Vec_IncrementalMergeClassesAscending,INSTANCES,0.8941938494569361,0.7693180912278532,0.4075518691483501,0.827068912013595,0.9005729204438321,0.8208077202723246,0.4640612189122711,0.8588422435853101,12418,1698,1371,2711,23535,-,-,ALOD2Vec,IncrementalMergeClassesAscending
